id,production_company
261023,Infinitum Nihil|Head Gear Films|Cross Creek Pictures|Free State Pictures|RatPac-Dune Entertainment
336004,Emmett/Furla Films|Silver Plane Films|Mass Hysteria Entertainment|Tri Vision Pictures
287903,Universal Pictures|Legendary Pictures
182560,Denver and Delilah Productions|Mandalay Vision|Exclusive Media Group|Hugo Productions|Cuatro Plus Films
192141,Bold Films|Living Films|Brothers Dowdle Productions
308639,Forest Whitaker's Significant Productions|Revolt Films|IamOTHER Entertainment
261392,Concorde Filmverleih|Likely Story|FilmNation Entertainment|Circle of Confusion|The Bridge Finance Company
304357,BBC Films|Origin Pictures
297291,Universal Pictures
266294,Little Stranger
227719,Paramount Pictures|MTV Films|Platinum Dunes|Insurge Pictures
86828,Premiere Picture|Bill and Ben Productions|GFM films
287948,EuropaCorp
201085,Legendary Pictures
277355,"Crime Scene Pictures|Radius-TWC|Anonymous Content|Vega, Baby!"
264999,Warner Bros.|Iron Horse Entertainment (II)
146301,Paramount Pictures|Blumhouse Productions
223485,The New Zealand Film Commission|Film4|See Saw Films|DMC Films
294016,Groundswell Productions|Inimitable Pictures|ShivHans Pictures
290751,Ingenious Media|Gran Via Productions|IM Global|Route One Films
309245,RT Features
228165,Paramount Pictures|Nickelodeon Movies|Nickelodeon Animation Studios|United Plankton Pictures|Disruption Entertainment
245706,Plan B Entertainment|Regency Enterprises|New Regency Pictures
272878,Sunswept Entertainment|Warner Bros.|Metro-Goldwyn-Mayer (MGM)
263109,Aardman Animations|Studio Canal|Anton Capital Entertainment (ACE)
157827,Motlys|Arte France CinÃ©ma|Animal Kingdom
321751,Reposado Producciones|TelevisiÃ³n EspaÃ±ola (TVE)|Mediapro
266396,StudioCanal|Silver Pictures|TF1 Films Production|Canal+|Instituto de la CinematografÃ­a y de las Artes Audiovisuales (ICAA)
277685,Bazelevs Production|Blumhouse Productions
268920,New Line Cinema|Warner Bros.|Metro-Goldwyn-Mayer (MGM)|Pacific Standard
280092,Sony Pictures
193687,Palomar Pictures|Lucky Hat Entertainment|Silver Reel|Material Pictures|Zik Zak Kvikmyndir
300803,Raffaella Productions
328589,BBC Films|TriStar Productions
228066,Twentieth Century Fox Film Corporation|Davis Entertainment|Moving Picture Company (MPC)|TSG Entertainment
378373,Terra Mater Factual Studios
291270,Starburns Industries
294963,Caliber Media Company|The Fyzz Facility|Realbuilder Productions
241257,The Weinstein Company|HimenÃ³ptero|First Generation Films|Mod Producciones|FilmNation Entertainment
245698,Material Pictures|MICA Entertainment|PalmStar Media|Gail Katz Productions
353326,Animus Films|Edward R. Pressman Film|Kreo Films FZ|Xeitgeist Entertainment Group|American Entertainment Investors
346808,Thaba Media|Azari Media
250124,Caviar Films|Cold Iron Pictures|Archer Gray
290637,Voltage Films|Midnight Kitchen Productions
244458,Studio Babelsberg|Mandalay Vision|1984 Private Defense Contractors
308504,Czech Anglo Productions|Luka Productions
314405,HanWay Films|Rai Cinema|Le Pacte|Fonds Eurimages du Conseil de l'Europe|Recorded Picture Company (RPC)
282984,Sony Pictures|Gravier Productions
157843,Benaroya Pictures|H Films|Raslan Company of America
275601,Columbia TriStar|Clinica Estetico|LStar Capital
290762,S Films|New Sparta Films
251516,Laser Unicorns
304372,Screen Gems
324807,StudioCanal|Ministero per i Beni e le AttivitÃ  Culturali (MiBAC)|Frenesy Film Company|Sensi Contemporanei Cinema e Audiovisivo|Cota Film
252512,Scott Rudin Productions|A24
257091,Gary Sanchez Productions|Warner Bros.
228968,Umedia|Informant Europe SPRL|European Film Company
347969,Happy Madison Productions
237756,Parabolic Pictures|Stable Way Entertainment|Cargo Films|Media House Capital
293646,Alcon Entertainment|Phoenix Pictures|Fabula|Half Circle
245168,Ruby Films|PathÃ©|Film4
311291,The Bureau
301351,Working Title Films
248574,A24
225728,Studio Canal|See-Saw Films|Creative Scotland|Film4|Anton Capital Entertainment (ACE)
326425,Emmett/Furla Films|Oasis Films|Aperture Entertainment|Twirly Films Limited
342474,MM Productions|Merced Media Partners|PalmStar Media
277217,Walt Disney Television
207936,Echo Films|Bron Studios|Hahnscape
250734,Fox Searchlight Pictures|DNA Films|BBC Films
249688,A24
268238,Participant Media|Fox Searchlight|Blueprint Pictures
256962,Metanoia Films
322456,Warner Bros. Animation
302528,Serendipity Point Films|Egoli Tossell Film AG
222936,Columbia Pictures|Vinyl Films|Regency Enterprises|Sony Pictures Entertainment (SPE)|RatPac Entertainment
316002,K. JAM Media
365806,343 Industries|The Sequence Group
10317,Participant Media|Smokehouse Pictures
334538,Rhombus Media|Bron Studios
306947,Pandastorm Pictures
328901,KSM
382517,Sony Pictures Animation
310133,Park Pictures|Audax Films|Dark Arts Film|End Cue
237584,Atlas Independent|Henceforth Pictures|Highland Film Group|MICA Entertainment
288036,Sidney Kimmel Entertainment|Gary Sanchez Productions|IM Global
354110,Minds Eye Entertainment|Panacea Entertainment|Moving Pictures Media
331781,On The Corner Films|Universal Music
253161,A Company Filmproduktionsgesellschaft|Aleph Motion Pictures|Aden Film
312831,Prescience|Bord Scannan na hEireann / Irish Film Board|Fantastic Films|Altitude Film Entertainment|Occupant Entertainment
316322,Mattel Playground Productions
301846,Starchild Pictures
306745,Double Feature Films|Endgame Entertainment|High Frequency Entertainment
332340,Big Talk Productions|StudioCanal
292431,Wild Bunch|Les CinÃ©mas de la Zone|Rectangle Productions|Scope Pictures|RT Features
300693,Echo Lake Entertainment|RatPac Entertainment|Mythology Entertainment (II)
333381,Voltage Pictures|Arrow Films|Boo Pictures
256924,Big Indie Pictures|ShivHans Pictures
253414,Shangri-La Entertainment|QED International|Dune Films|Venture Forth
254172,Andrea Leone Films|Fear of God Films|Busted Shark Productions
320588,Red Crown Productions|Haven Entertainment
157544,Lakeshore Entertainment|Lionsgate|H2F Entertainment|Pantelion Films
283235,Imagenation Abu Dhabi FZ|Hyde Park Entertainment|Broad Green Pictures|Noruz Films
243938,Paramount Pictures|Metro-Goldwyn-Mayer (MGM)
86835,Waypoint Entertainment|Dogwood Films
254905,Worldview Entertainment
309242,Electric City Entertainment|Sycamore Pictures|Gowanus Projections
332502,New Artists Alliance
286192,Pixar Animation Studios
284674,Automatik Entertainment|Circle of Confusion|Skybound Entertainment
360055,Mainstay Productions
352179,Eclectic pictures|AMBI Group
246127,Neue Road Movies|Film i VÃ¤st|Montauk Productions|GÃ¶ta Film
338676,Vaca Films|La Ferme! Productions|Laokoon Filmgroup|Ombra Films|TelefÃ³nica Studios
330982,Hepp Film|Bow and Arrow Entertainment|FilmTeam|Bron Capital Partners
232572,Wildwood Enterprises|Route One Films
112454,Zed Filmworks|Cross Creek Pictures|Vertebra Films|PS 260
243940,Lionsgate|Blumhouse Productions|Chapter One Films
321528,Warner Bros. Animation|DC Entertainment
317744,Hyde Park Entertainment|Troika Pictures|Amasia Entertainment|Merced Media Partners|Roberi Media
239573,Studio Babelsberg|Regency Enterprises|Escape Artists|New Regency Pictures
167810,Bold Films|Marc Platt Productions|Phantasma
319075,HBO Documentary Films|Public Road Productions
316042,Rhombus Media|International Traders|Buffalo Gal Pictures|Whizbang Films|Triple 7 Films
334527,NeeNee Productions|Capacity Pictures|May Day Movies
300153,See-Saw Films
228203,Walt Disney Pictures|Mayhem Pictures
332704,Head Gear Films|Screen Australia|Metrol Technology|Bankside Films
278236,Original Pictures|Head Gear Films|Minnow Films
276839,Darko Entertainment|Passcode Entertainment|Donnybrook4 Productions
326215,Skyline Entertainment|Moetion Films|Ulysses Filmproduktion|Fabrique d'images
363689,Lighthouse Pictures|Sapphire Fire Limited
318256,Two to Tangle Productions
299245,New Line Cinema|Blumhouse Productions|Management 360|Tremendum Pictures
333344,Horsethief Pictures
357096,Cinetel Films
309299,FJ Productions|BB Film Productions
314385,Plan B Entertainment|Jolie Pas|Pellikola
333596,Sony Pictures
361042,Sonar Entertainment
353686,Blumhouse Productions|Chapter One Films
318954,Burns Family Studios
289191,Zentropa Entertainments
324333,Patriot Pictures
252164,Isle of Man Film|Bigscope Films|Pinewood Pictures
360784,Primal Pictures|Warner Bros.
336313,Freestyle Releasing|ShadowMachine Films
240483,British Film Institute (BFI)|Northern Ireland Screen|Pinewood Studios|British Film Company|Tempo Productions Limited
321494,Living Films|Arcade Pictures|Iron Fists
353595,Warner Bros. Animation
264337,Brookwell-McNamara Entertainment|Pantelion Film|Televisa|Circle of Confusion
289716,Myriad Pictures|Dreambridge Films|Bifrost Pictures
296065,Skyra Entertainment
337029,Eclectic pictures|Summerstorm Entertainment|Bad Badger
317952,The Documentary Group|Our Time Projects
325358,The Safran Company|3 in the Box
272548,Nexus Factory|Partizan Films|Potemkin Productions
340275,40 Acres & A Mule Filmworks|Amazon Studios
309887,Sense and Sensibility Ventures|Silver Nitrate
302429,Lucasfilm|Touchstone Pictures
253331,Treehouse Pictures
293771,Di Bonaventura Pictures|Contradiction Films|Dead Rising Productions|Legendary Digital Media
323373,The New Zealand Film Commission|Timpson Films|MPI Media Group|Metalheads
323027,DC Comics|Warner Bros. Animation
297806,Bron Studios|RatPac Entertainment
253626,Voltage Pictures|Sobini Films|Dune Films
354251,Willowbrook Regent Films
329637,ST Renegades
257444,Chiller Films|SpectreVision
355338,Walt Disney Pictures|Pixar Animation Studios
271736,StudioCanal|Working Title Films
309581,A&E Television Networks|ChickFlick Productions|Lifetime Productions
293970,Groundswell Productions|Ulterior Productions|Studio Solutions
279690,Alternate Ending Studios|108 Media
364067,American Zoetrope|South Beach Productions|Departed Productions
318922,Altitude Film Entertainment|AI-Film|Unigram
335077,Mr.Monster
266639,Universal Pictures|Blumhouse Productions|Hasbro Studios|Allspark Pictures
274504,RabbitBandini Productions|Windowseat Films
244316,Purple Pictures|Paul Schiff Productions|Indomitable Entertainment
352208,Dog Eat Dog Films|IMG Films
283587,Participant Media|Focus Features|Red Crown Productions
311539,Copperheart Entertainment
277713,Iris productions|Hurricane Films|SellOutPictures
347945,Pop Films|Soapbox Films
344854,Kojo Pictures|Lightning Entertainment|Screen Australia|ProdigyMovies|IFC Midnight
234212,Icon Entertainment International|Dimension Films|First Point Entertainment|IM Global
283596,Sigma Films Ltd.|Trinity Works Entertainment|Latitude Media
250225,Pioneer Pictures|Rook Films
307479,WANGO Films
339145,Varient Busted Buggy Entertainmen
323660,The Asylum
308638,Ealing Studios|Electric Dynamite|Rip Cord Productions|Londinium Films
359983,Walt Disney Television Animation
300155,Ecosse Films|Scope Pictures|Filmgate Films
328595,Fox Digital Studios
327528,New Real Films|Lumanity Production
329540,WWE Studios
306964,Epic Pictures Group|Film Entertainment Services
360387,ETA films
362185,Status Media & Entertainment|DV3 Productions|The Forgery|GA2 Productions
94365,Six Entertainment
241855,XYZ Films
322518,Darius Films
291272,Dark Sky Films|Snowfort Pictures
324963,Mattel Playground Productions
342927,The Asylum|Syfy
361159,Hollywood Media Bridge|Throne Productions
365805,IW Wrecker Productions
351964,Skyhook Productions|Cloverhill Pictures|Perspective Productions
362057,Blumhouse Productions|The Safran Company|Temple Hill Entertainment
137333,Accelerated Matter
317198,Muse Entertainment Enterprises
57876,Insurge Pictures
339533,The Asylum
277546,Paper Street Films|Back Lot Pictures|KGB Media
306482,Warp Films Australia|Animal Kingdom|Carver Films
362105,EveryWhere Studios
245846,Worldview Entertainment
330112,Head Gear Films|Metrol Technology|Langley Park Productions
322766,Sony Pictures Television|Silver Screen Pictures
361931,"On The Corner Films|We Came, We Saw, We Conquered Studios"
318224,Jigsaw Productions|HBO Documentary Films|Sky Atlantic
309503,Protozoa Pictures|Cargo Entertainment|33 Pictures
348811,VMI Worldwide|Verdi Productions|Schuetzle Company Productions|The Fyzz Facility
310135,Epic Pictures Group|Timpson Films|EMA Films
355111,Mattel
335866,Votiv Films|Taggart Productions
295592,Disneynature
335970,Happy Madison Productions
366142,Illumination Entertainment
310121,Northern Lights Films|Jeff Rice Films|Two Flints
361263,Sony Pictures Television
324308,Magnolia Pictures|Jigsaw Productions|CNN Films
326923,Johnson Production Group|Shadowland
356842,BBC Films|Kreo Films FZ|Cuba Pictures|Tigerlily Films
339530,Universal 1440 Entertainment
331190,Itaca Films|BN Films|Brightside Entertainment|1019 Entertainment|Yoruba Saxon Productions
301729,Storm Vision Entertainment
395883,Ambi Pictures
356300,Neophyte Productions
218784,Columbia Pictures|Sony Pictures Entertainment
310137,Dark Factory Entertainment
342917,Warner Bros. Animation
79698,Corsan|Bliss Media|Limelight International Media Entertainment|Neelmudra Entertainment|Aristos Films
337960,Goalpost Pictures
296130,Dark Dunes Productions|Studio ADI
327418,Warner Bros. Animation
246133,The Made Bed Productions|Nomadic Independence Pictures|Jagjaguwar
328869,Bron Studios
308032,Abandon Pictures|Sandbar Pictures|Coup d'Etat Films
329829,Starhaus Filmproduktion|Anagram Produktion|Galafilm Productions|Triptych Media|Marianna Films
330544,The Zanuck Company|Flavor Unit Entertainment|HBO Films
299551,The Safran Company|Poznan Film Group
207270,Tall Man Films|Atlantic Picture Company|Sunny Day Media
307946,Egoli Tossell Film|Koppelman/Levien
356905,WTFN Entertainment|Kmunications
345637,Pixar Animation Studios
284286,Broad Green Pictures|Lavender Pictures
340816,Unstuck
331446,The Asylum
351901,WWE Studios
357681,First Movie Companie
333657,Radar Pictures|2B Films
336845,Lifetime Network|Sony Pictures Television|Woodridge Productions
343795,Emmett/Furla Films|Giving Films
294562,Cinetel Films
297556,DC Comics|Warner Bros. Feature Animation
354743,Hartswood Films|Serena Cullen Productions
157422,After Dark Films|High Five Films
316885,Blenkov & SchÃ¸nnemann Pictures|Four Sons Pictures
228973,TÃ©lÃ©film Canada|Fella Films|Northern Ontario Heritage Fund
320048,Start Motion Pictures
359305,BBC
329004,"K5 International|British Film Institute (BFI)|Northern Ireland Screen|The Fyzz Facility|Fyzz Facility Film One, The"
362180,Arcadia Motion Pictures|Noodles Production|CoproducciÃ³n Francia-EspaÃ±a; Inti Entertainment
243752,Wernham Entertainment|Pangaea Pictures
291866,Midnight Road Entertainment
330127,Malka Media Group
323694,Charlie Productions|Casualties Bureau|Jeva Films
334028,Caliber Media Company|Revek Entertainment
354924,Centron Pictures
368256,Caliber Media Company
347847,Scatena & Rosner Films|Allegra Pictures
295490,Lucky Coffee Productions
291865,MPI Pictures
334531,Paul Schiff Productions|Anthem Productions
324803,Hiding in the Attic
339355,Ascot Elite Home Entertainment
309304,Depth of Field|1821 Pictures
306966,Filmax Group|Castelao Pictures|Somnium Films
226458,GO Productions|Vicarious Entertainment|Bloodline Productions|Shallow Focus
339148,Unbound Feet Productions
347754,Universal Pictures|Blumhouse Productions|LBI Entertainment|Ombra Films
326284,Odyssey Media|Rodin Entertainment|Ace Film Company|Chunqiu Time Culture Co.
317144,Raw TV
277558,NGN Productions|Prospect Park|Final Girl Productions
338928,Participant Media|Imagenation Abu Dhabi FZ|Parkes+MacDonald Image Nation
291189,Unified Pictures|Bron Studios
309425,Believe Entertainment|Pure Flix Entertainment|Toy Gun Films|10 West Studios
287689,HBO Films
325189,Disney Channel
298582,Carmel Creek Productions
301228,T Squared Film
343934,Paramount Pictures
296025,Aloupis Productions|Hacienda Film Co.
371442,Eastside Films
325173,Bleiberg Entertainment|Compound B|Underdogg Entertainment|Entropy
282313,FilmBuff|Floren Shieh Productions
300542,Washington Square Films
318044,NetFlix|Radical Media
316715,Feelgood Fiction|Baltic Film Services|Vistaar Religare Film Fund
308027,Beachside Films
355020,Passion Pictures|Campbell Grobman Films|Afineevsky - Tolmor Production|Pray for Ukraine Production|Rock Paper Scissors
323665,Traction Media|Off Hollywood Pictures|Ravenous Films
347548,Bright Cold Day Films|Patchwork Productions|Bandoola Productions
353345,WT Canada Productions
323370,Campfire LLC
337958,Last Cab Productions
333674,Room 101|Vicarious Entertainment|Campbell Grobman Films|Jeff Rice Films|Black Fish Films
301728,Storm Vision Entertainment|Eclectik Vision|Storm Alley Entertainment
256030,WithanO Productions|Universal Studios Sound Facilities
300666,Strings of Films|2 Wolves Films
347642,Black Fawn Films|Breakthrough Entertainment Productions
373558,Apple Inc.
367326,Twentieth Century Fox Film Corporation|Blue Sky Studios
329205,J.B.J Film
386501,Side Gig Productions
321769,Epix|Trouper Productions|BOND360
251471,Global Emerging Markets (GEM)|HeLo
174340,"Fresh One Productions|Tarnished Angel, Inc|Club 55 Productions"
309298,Lions Gate Films
285840,Astron-6 Video International|Tele-Film
308077,Versatile Film|Fabula
321109,BBC
341886,Raven Banner Entertainment|De Angeles Films
308024,Duplass Brothers Productions|Gettin' Rad Productions
356216,Carnaby International|Saracen Films|Torn Pictures
311615,Awesomeness Films
333873,20th Century Fox|Lauzirika Motion Picture Company
293941,Vision Films|Frenzy Films
294132,Burn Later Productions|Houston King Productions
301629,Andrea Sperling Productions|Lakeview Productions|Gamechanger Films|Leeden Media|TALU Productions
331592,Young Medium|Listen Film
342464,Sundial Pictures
332976,Steamroller Productions|Actionhouse
367551,Screen Media Films|Vertigo Films|Protagonist Pictures
353610,WWE Studios
316410,The Asylum
106845,Signature Pictures|After Dark Films|Midsummer Films
323966,Raging Pictures
354857,Cartoon Network Studios
333653,A+E Studios|Jane Startz Productions
323366,Alexander Groupe|High Window Films|Illium Pictures
75861,Two Streets Entertainment|Birchwood Pictures|Noble Pictures|Valencia Motion Pictures
283698,Rai Cinema|Wildside
329020,Melusine Productions
323272,Provident Films|Affirm Films|Kendrick Brothers Productions
343921,Gary Sanchez Productions|Marvista Entertainment|National Picture Show Entertainment
361671,Unframed USA
346494,Hessischer Rundfunk (HR)|UFA Fiction|Six Island Productions
321974,Jigsaw Productions|Disarming Films
363757,Italian International Film|Rai Cinema
328820,KSM Film
359255,Sinister Siblings Films|Lascaux Media
355178,Home Box Office (HBO)
310491,Element Pictures
319096,Silver Screen Pictures|Sanitsky Company
360341,Netflix
329556,Scatena & Rosner Films|Sarke Studio|Imedi Films
241927,Whizbang Films|Storyteller Pictures
287692,Big Bad Film|Bloody Lip Productions
321668,Compound B
315024,Little Dragon Productions
345944,Network Entertainment
300686,Tiberius Film
324253,Company Name
395560,Ecaveo Capital Partners|Hermes Space Industries
312827,Campfire|Zipper Bros Films
308084,Duplass Brothers Productions|Through Films
327029,Adi Shankar Production
249916,Parkville Pictures
331161,Tarnol Group Pictures
244563,Ad Hominem Enterprises|Lila 9th Productions
315855,National Film Board of Canada|Buffalo Gal Pictures|PHI Film
347762,Marvista Entertainment|Snowfall Films
320996,New Wave Entertainment
312797,Chapman Filmed Entertainment
312804,BorderLine Films|Relic Pictures
339751,Cohen Media Group
351043,Infra-Red Pictures
295595,Valiant|DareDevil Films|Vimeo
371758,British Broadcasting Corporation (BBC)|Mammoth Screen|A&E Television Networks|Agatha Christie Ltd|Acorn Productions
317981,Fortress Features|MTY Productions
309889,Safady Entertainment|The Culling Productions|Silver Lining Media Group
333103,Comedy Central|Tenth Planet Productions
319076,Passion Pictures|Cutler Productions
309063,La Luna Entertainment
355131,Netflix
332839,Manis Film|Papagjika Salloway Productions
362434,Hybrid
371759,British Broadcasting Corporation (BBC)
316761,Type 55 Films
341077,Industrial Development Corporation of South Africa|Altitude Film Entertainment|Creativity Capital|Glass Man Films|Ten10 Films
321160,Lifetime Television|Sony Pictures Television
330037,Dharma Productions
347944,Lightning Entertainment|Candlewood Entertainment|Anguish Film
279972,ArieScope Pictures
362439,Cinetel Films
355600,Ghoulardi Film Company
308447,Warner Bros. Animation|Hanna-Barbera|WWE Studios
348035,NetFlix
298032,Grizly Films
371833,Bentley Productions
300654,Tandem Pictures|Greenmachine Film
365717,RatPac Entertainment|Melco-Crown Entertainment (MCE)
321594,Pig Newton
307931,Verisimilitude|Kotva Films
332706,Super Crispy Entertainment|Fido Features
333377,PF Pictures|Naked City Films
275696,New Artists Alliance|Caliber Media Company
326247,E3W Productions
318973,Sundial Pictures|No Weather Productions|The Cinemart
273899,Centropolis Entertainment|Mel's Cite du Cinema
321039,PCB Entertainment|Concourse Media
345468,BoulderLight Pictures
269033,Island 23 Films
323435,Bow and Arrow Entertainment|Melody Maker Productions & MMP Audio|Son of a gun Productions
318225,Beachside Films
